workload,datastructure,rqalg,txn_cnt,abort_cnt,run_time,ixNumContains,ixTimeContains,ixNumInsert,ixTimeInsert,ixNumRemove,ixTimeRemove,ixNumRangeQuery,ixTimeRangeQuery,ixLenRangeQuery,ixTotalOps,ixTotalTime,ixThroughput,nthreads,throughput
TPCC,CITRUS,RQ_BUNDLE,100000.0000,0,2.1857,1357725.8000,.7655,1100101.6000,.3006,49581.8000,.0193,77145.2000,.1955,47.8102,2584554.4000,1.2809,2038642.0659,1,46295.2892
TPCC,CITRUS,RQ_BUNDLE,4483536.8000,3765.4000,266.3310,60850295.2000,74.7885,49280851.6000,27.3437,2221279.2000,5.7636,3452069.6000,19.9065,51.3190,115804495.6000,127.8024,43500518.2535,48,808261.5573
TPCC,CITRUS,RQ_BUNDLE,8489615.6000,9239.0000,974.5054,115225714.0000,204.8399,93306188.8000,62.0822,4207473.8000,19.6068,6541528.0000,46.9851,50.3525,219280904.6000,333.5142,63108248.3405,96,836602.1738
TPCC,CITRUS,RQ_BUNDLE,12500492.8000,16765.2000,1824.7201,169656450.8000,326.0630,137393403.6000,121.7340,6184291.0000,51.8569,9617132.8000,98.1015,51.7023,322851278.2000,597.7555,77773093.6473,144,986618.9164
TPCC,CITRUS,RQ_BUNDLE,15678390.4000,22609.6000,3091.2909,212828669.8000,471.0803,172319499.2000,191.5402,7765118.0000,276.2171,12073282.8000,173.3105,50.6132,404986569.8000,1112.1483,69992679.9169,192,974682.0403
TPCC,CITRUS,RQ_LOCKFREE,100000.0000,0,1.9941,1356432.2000,.7349,1098862.8000,.2580,49439.4000,.0146,76995.6000,.1424,49.8842,2581730.0000,1.1501,2274861.9578,1,50799.7829
TPCC,CITRUS,RQ_LOCKFREE,4476990.4000,3462.2000,265.3230,60756914.4000,77.0335,49207174.0000,26.4532,2216991.4000,8.9342,3446428.6000,26.0361,50.6838,115627508.4000,138.4572,40093268.5230,48,810004.2478
TPCC,CITRUS,RQ_LOCKFREE,8735164.4000,6547.6000,1113.5867,118549270.6000,255.9085,96009442.8000,61.5978,4328794.2000,34.4619,6728045.6000,81.1372,50.2850,225615553.2000,433.1055,50038227.0575,96,753197.3599
TPCC,CITRUS,RQ_LOCKFREE,12714415.2000,10423.0000,2019.6421,172551410.0000,373.8327,139743368.4000,135.0649,6297434.6000,116.6448,9790293.2000,204.5440,50.6392,328382506.2000,830.0865,56989462.7293,144,906745.6478
TPCC,CITRUS,RQ_LOCKFREE,16601609.4000,14735.0000,3556.1948,225297407.4000,542.4953,182465061.6000,211.2315,8220271.0000,410.4036,12778668.4000,431.8531,51.3089,428761408.4000,1595.9836,51681850.4857,192,896287.1052
TPCC,CITRUS,RQ_RBUNDLE,100000.0000,0,2.2838,1356638.0000,.8213,1100081.2000,.3157,49071.4000,.0228,76236.8000,.1839,57.9704,2582027.4000,1.3438,1923896.2108,1,43807.8061
TPCC,CITRUS,RQ_RBUNDLE,4536148.8000,3748.6000,267.7935,61563757.2000,75.6556,49861707.2000,27.3300,2245487.6000,5.4933,3491354.4000,15.0820,51.0408,117162306.4000,123.5611,45517526.4600,48,813251.4654
TPCC,CITRUS,RQ_RBUNDLE,8454266.4000,9303.2000,964.3691,114726382.2000,205.7040,92905555.2000,62.1659,4186613.2000,19.8260,6510510.4000,34.9960,50.6567,218329061.0000,322.6921,64960878.9227,96,841929.5771
TPCC,CITRUS,RQ_RBUNDLE,12407544.2000,15814.2000,1827.8306,168382661.6000,322.4917,136348340.8000,120.8545,6144329.6000,60.1600,9554945.8000,73.6316,50.5009,320430277.8000,577.1380,79946506.4048,144,977524.5524
TPCC,CITRUS,RQ_RBUNDLE,15468931.0000,21142.2000,3062.0278,209988506.2000,465.8913,170028774.4000,191.9129,7662042.4000,276.0358,11913913.0000,130.8559,50.4553,399593236.0000,1064.6961,72208664.9690,192,971025.7378
TPCC,CITRUS,RQ_RLU,100000.0000,0,1.8597,1359005.4000,.6771,1101169.6000,.2462,49766.0000,.0171,77076.8000,.0860,51.3477,2587017.8000,1.0265,2543277.3076,1,54358.5139
TPCC,CITRUS,RQ_RLU,4432235.0000,2722.4000,340.8112,60158951.4000,107.0762,48719440.0000,102.1079,2195833.0000,19.2933,3414364.2000,10.9594,50.0555,114488588.6000,239.4370,22979093.6192,48,624810.1918
TPCC,CITRUS,RQ_RLU,8956439.2000,6509.8000,1141.1113,121562142.6000,329.0655,98443673.2000,352.9421,4436115.4000,65.9415,6894997.4000,30.0988,50.6969,231336928.6000,778.0481,28589407.7959,96,753675.6406
TPCC,CITRUS,RQ_RLU,13218337.8000,12851.8000,2359.8006,179387344.2000,582.0389,145247486.8000,780.9732,6547191.8000,157.1413,10178570.4000,58.1004,50.5749,341360593.2000,1578.2540,31150028.4442,144,806623.3426
TPCC,CITRUS,RQ_RLU,17925295.2000,31268.0000,4534.3054,243481403.8000,873.1089,197021119.6000,1723.6251,8881068.8000,341.6567,13808726.2000,92.8095,50.4427,463192318.4000,3031.2003,29710147.6547,192,764077.7367
TPCC,CITRUS,RQ_RWLOCK,100000.0000,0,2.0241,1355253.0000,.7403,1098005.2000,.2543,49427.2000,.0133,76642.4000,.1430,51.0902,2579327.8000,1.1511,2262405.4084,1,49989.4269
TPCC,CITRUS,RQ_RWLOCK,4476479.4000,3070.0000,271.0705,60739074.6000,73.7361,49187423.2000,27.8014,2217223.6000,9.9547,3449685.2000,33.6284,49.6558,115593406.6000,145.1208,38238576.2715,48,792986.7662
TPCC,CITRUS,RQ_RWLOCK,7199652.0000,1423.6000,1733.6212,97691207.2000,157.2059,79138647.6000,72.4046,3566991.0000,54.2947,5542922.2000,1278.5426,51.3650,185939768.0000,1562.4479,11443062.5112,96,399106.9118
TPCC,CITRUS,RQ_RWLOCK,11256603.6000,2776.0000,4868.9061,152735849.6000,336.5801,123725882.0000,159.3613,5576139.2000,152.1802,8668717.4000,3856.7601,50.9006,290706588.2000,4504.8820,9306713.7054,144,333427.3140
TPCC,CITRUS,RQ_RWLOCK,14540063.2000,3711.4000,9803.1153,197278477.8000,599.3526,159797138.8000,263.5152,7203904.0000,556.2081,11198039.2000,7735.8949,50.6574,375477559.8000,9154.9710,7876877.1110,192,284854.6795
TPCC,CITRUS,RQ_UNSAFE,100000.0000,0,1.7468,1354215.4000,.6407,1096492.0000,.2119,49477.6000,.0091,77037.2000,.0744,46.5533,2577222.2000,.9362,2779605.6289,1,57826.7524
TPCC,CITRUS,RQ_UNSAFE,4471441.8000,3972.8000,250.2087,60676802.2000,79.3207,49142034.0000,20.6893,2212755.4000,5.0800,3441257.0000,8.6581,51.7245,115472848.6000,113.7483,48727765.0967,48,857965.8529
TPCC,CITRUS,RQ_UNSAFE,8777486.8000,11201.6000,929.2432,119148356.4000,231.2339,96488678.4000,48.0214,4347917.4000,17.3957,6759939.8000,20.5182,51.1283,226744892.0000,317.1695,68629168.9503,96,906794.5006
TPCC,CITRUS,RQ_UNSAFE,12583398.8000,16929.2000,1738.3441,170806897.4000,341.7650,138316172.0000,93.0828,6232668.2000,70.5804,9691124.0000,40.7957,50.5011,325046861.6000,546.2240,85721267.7663,144,1042824.3798
TPCC,CITRUS,RQ_UNSAFE,16067021.8000,18603.8000,3039.3544,218051907.6000,502.6077,176572020.4000,154.3905,7956767.8000,295.1451,12373295.4000,71.7878,50.9871,414953991.2000,1023.9313,77839951.6161,192,1015712.9892
TPCC,SKIPLISTLOCK,RQ_LOCKFREE,100000.0000,0,2.4041,1354533.2000,1.0080,1096550.0000,.3184,49694.4000,.0156,77188.0000,.1593,53.6303,2577965.6000,1.5015,1734878.8390,1,42101.9896
TPCC,SKIPLISTLOCK,RQ_LOCKFREE,4539197.0000,3665.4000,289.3228,61611718.2000,109.5778,49887562.8000,32.6055,2256337.6000,1.5222,3496123.8000,26.9942,59.4099,117251742.4000,170.6999,32974331.7356,48,753147.9501
TPCC,SKIPLISTLOCK,RQ_LOCKFREE,8976604.4000,10147.4000,960.6695,121859737.6000,291.0177,98686849.2000,76.6104,4454192.2000,3.6112,6903568.8000,83.4397,61.1071,231904347.8000,454.6792,48966426.1707,96,897493.3957
TPCC,SKIPLISTLOCK,RQ_LOCKFREE,12713423.0000,14845.8000,1854.9690,172583972.4000,462.7888,139736152.0000,135.7076,6318402.2000,6.6885,9789515.2000,204.7355,60.1811,328428041.8000,809.9205,58399994.5397,144,987490.3870
TPCC,SKIPLISTLOCK,RQ_LOCKFREE,16905900.0000,25217.0000,3272.2543,229516070.0000,716.9483,185804566.8000,222.0557,8402153.6000,11.4485,13016084.4000,445.3848,60.4673,436738874.8000,1395.8375,60089832.3051,192,993048.8806
TPCC,SKIPLISTLOCK,RQ_RBUNDLE,100000.0000,0,2.3507,1357529.6000,.9396,1099841.6000,.3508,49695.0000,.0187,77109.8000,.1853,62.3961,2584176.0000,1.4945,1742443.4239,1,42881.9535
TPCC,SKIPLISTLOCK,RQ_RBUNDLE,4540106.6000,4049.6000,280.8588,61637426.2000,105.3991,49910108.0000,34.3658,2256335.2000,1.5705,3496383.4000,17.5231,59.5812,117300252.8000,158.8586,35444672.2262,48,776101.0319
TPCC,SKIPLISTLOCK,RQ_RBUNDLE,8970540.2000,10610.8000,942.7792,121760097.0000,279.8926,98584581.6000,82.0555,4457521.8000,3.6522,6910541.0000,42.1192,59.4840,231712741.4000,407.7197,54561042.1823,96,913664.7333
TPCC,SKIPLISTLOCK,RQ_RBUNDLE,12353159.8000,18010.2000,1835.2465,167712087.6000,449.3862,135786574.8000,145.3701,6138577.4000,6.4184,9511438.4000,84.1843,60.8308,319148678.2000,685.3591,67049813.6785,144,969863.5906
TPCC,SKIPLISTLOCK,RQ_RBUNDLE,16850685.4000,24178.2000,3138.2997,228743208.6000,711.5095,185188582.4000,244.3336,8374695.0000,10.3474,12978576.6000,162.6403,60.4859,435285062.6000,1128.8309,74045409.0817,192,1031249.3620
TPCC,SKIPLISTLOCK,RQ_RWLOCK,100000.0000,0,2.2531,1356240.0000,.9447,1098382.0000,.3131,49750.6000,.0142,77101.8000,.1343,57.5924,2581474.4000,1.4064,1849785.3509,1,44744.9515
TPCC,SKIPLISTLOCK,RQ_RWLOCK,4472671.2000,4195.0000,289.2202,60728175.8000,107.9153,49176814.0000,32.9216,2222855.2000,2.0965,3443993.4000,29.0633,60.2332,115571838.4000,171.9968,32255311.1540,48,742309.7667
TPCC,SKIPLISTLOCK,RQ_RWLOCK,7019927.2000,2730.4000,1702.4707,95262372.2000,217.2566,77152377.2000,82.9903,3490319.4000,23.4575,5403254.2000,1208.3635,62.8538,181308323.0000,1532.0680,11371412.7476,96,396141.5801
TPCC,SKIPLISTLOCK,RQ_RWLOCK,10650541.0000,3862.4000,4601.7314,144551210.2000,472.3922,117080006.0000,169.3166,5294434.8000,43.7260,8196401.0000,3565.1403,62.8067,275122052.0000,4250.5752,9330486.1760,144,333607.8589
TPCC,SKIPLISTLOCK,RQ_RWLOCK,14875493.4000,12250.8000,9666.3424,201888837.6000,973.6448,163451880.0000,318.0809,7395139.0000,71.3542,11454270.6000,7555.7938,61.1608,384190127.2000,8918.8739,8273503.8875,192,295591.0855
TPCC,SKIPLISTLOCK,RQ_UNSAFE,100000.0000,0,2.2652,1355446.4000,.9499,1097791.2000,.2739,49582.8000,.0107,77056.6000,.0974,53.8283,2579877.0000,1.3321,1957299.6621,1,44615.3967
TPCC,SKIPLISTLOCK,RQ_UNSAFE,4525896.8000,4451.6000,266.7374,61445649.4000,100.9287,49760543.6000,28.1439,2246837.2000,.7359,3483397.4000,10.6513,59.5319,116936427.6000,140.4599,39965503.8544,48,814698.5423
TPCC,SKIPLISTLOCK,RQ_UNSAFE,8917785.8000,12632.0000,946.4485,121049558.2000,275.7070,98004006.4000,67.1236,4430841.6000,1.7840,6869273.4000,25.1456,58.7432,230353679.6000,369.7603,59806442.9888,96,904505.9603
TPCC,SKIPLISTLOCK,RQ_UNSAFE,12462626.8000,20004.0000,1767.2658,169186204.6000,432.2139,136964606.4000,122.2164,6196149.4000,3.2432,9600586.6000,49.4207,59.4644,321947547.0000,607.0945,76405636.7925,144,1016300.8964
TPCC,SKIPLISTLOCK,RQ_UNSAFE,16852128.0000,27053.4000,3044.1915,228777727.0000,681.5484,185207058.8000,211.0820,8374830.4000,5.1194,12983832.8000,92.6314,59.2010,435343449.0000,990.3814,84438126.4211,192,1063711.8427
