list,max_key,u_rate,rq_rate,wrk_threads,rq_threads,rq_size,u_latency,c_latency,rq_latency,tot_thruput,u_thruput,c_thruput,rq_thruput,rq_len,avg_in_announce,avg_in_bags,reachable_nodes,avg_bundle_size
citrus-bundle,100000,0.00,100.00,1,0,50,0,0,2922,392410,0,0,392410,24,0,0,49574,1.16
citrus-bundle,100000,0.00,100.00,16,0,50,0,0,2900,5874259,0,0,5874259,25,0,0,50059,1.17
citrus-bundle,100000,0.00,100.00,32,0,50,0,0,3480,9649473,0,0,9649473,24,0,0,49817,1.17
citrus-bundle,100000,0.00,100.00,48,0,50,0,0,4206,12161067,0,0,12161067,25,0,0,50081,1.17
citrus-bundle,100000,0.00,100.00,64,0,50,0,0,3784,17099722,0,0,17099722,25,0,0,50206,1.17
citrus-bundle,100000,0.00,100.00,80,0,50,0,0,3961,20587302,0,0,20587302,25,0,0,50023,1.17
citrus-bundle,100000,0.00,100.00,96,0,50,0,0,3868,23609915,0,0,23609915,25,0,0,50074,1.17
citrus-lockfree,100000,0.00,100.00,1,0,50,0,0,2341,620663,0,0,620663,24,0,0,0,0.00
citrus-lockfree,100000,0.00,100.00,16,0,50,0,0,3289,5659275,0,0,5659275,24,0,45,0,0.00
citrus-lockfree,100000,0.00,100.00,32,0,50,0,0,6025,5253286,0,0,5253286,25,0,93,0,0.00
citrus-lockfree,100000,0.00,100.00,48,0,50,0,0,8984,5104565,0,0,5104565,24,0,141,0,0.00
citrus-lockfree,100000,0.00,100.00,64,0,50,0,0,11715,5422298,0,0,5422298,25,0,189,0,0.00
citrus-lockfree,100000,0.00,100.00,80,0,50,0,0,12893,6077383,0,0,6077383,24,0,237,0,0.00
citrus-lockfree,100000,0.00,100.00,96,0,50,0,0,15756,5604089,0,0,5604089,24,0,285,0,0.00
citrus-bundle,100000,1.00,98.00,1,0,50,959,434,2965,397097,3949,19475,389253,24,0,0,49576,1.16
citrus-bundle,100000,1.00,98.00,16,0,50,1110,496,2924,5961122,59521,291025,5843396,25,0,0,50179,1.17
citrus-bundle,100000,1.00,98.00,32,0,50,1354,592,3470,9733296,97437,477745,9540310,25,0,0,50050,1.17
citrus-bundle,100000,1.00,98.00,48,0,50,1611,689,3941,12125478,121359,593930,11885333,25,0,0,50280,1.17
citrus-bundle,100000,1.00,98.00,64,0,50,1794,687,3772,17072230,170221,835785,16734852,24,0,0,50131,1.17
citrus-bundle,100000,1.00,98.00,80,0,50,1913,736,3825,20214193,202036,988860,19814385,25,0,0,49862,1.17
citrus-bundle,100000,1.00,98.00,96,0,50,2044,806,3955,23079765,230749,1126955,22623625,24,0,0,50009,1.17
citrus-lockfree,100000,1.00,98.00,1,0,50,470,324,1769,627772,6316,30650,615326,25,0,0,0,0.00
citrus-lockfree,100000,1.00,98.00,16,0,50,610,393,2993,5613328,56184,274480,5502248,24,0,45,0,0.00
citrus-lockfree,100000,1.00,98.00,32,0,50,968,606,5556,5618078,56291,274085,5506970,24,0,93,0,0.00
citrus-lockfree,100000,1.00,98.00,48,0,50,1175,782,8776,5281464,52835,258390,5176951,24,0,141,0,0.00
citrus-lockfree,100000,1.00,98.00,64,0,50,2534,1127,11509,5483212,54983,268305,5374568,24,0,189,0,0.00
citrus-lockfree,100000,1.00,98.00,80,0,50,3175,1243,15423,5338064,53600,261015,5232261,24,0,237,0,0.00
citrus-lockfree,100000,1.00,98.00,96,0,50,3751,2106,16745,5150850,51620,251705,5048889,25,0,285,0,0.00
citrus-bundle,100000,5.00,90.00,1,0,50,837,428,3009,419236,21079,102555,377646,24,0,0,49820,1.17
citrus-bundle,100000,5.00,90.00,16,0,50,950,480,2946,6357074,318132,1552765,5728389,25,0,0,50110,1.17
citrus-bundle,100000,5.00,90.00,32,0,50,1192,607,3626,9916785,496501,2422825,8935719,25,0,0,49818,1.17
citrus-bundle,100000,5.00,90.00,48,0,50,1401,676,4008,12578593,629668,3076470,11333631,25,0,0,50188,1.17
citrus-bundle,100000,5.00,90.00,64,0,50,1740,774,3815,16744438,837693,4090770,15088591,25,0,0,50019,1.17
citrus-bundle,100000,5.00,90.00,80,0,50,1814,778,3976,19613041,981882,4798965,17671366,25,0,0,50165,1.17
citrus-bundle,100000,5.00,90.00,96,0,50,1879,792,4391,21920055,1097394,5363485,19749964,24,0,0,49968,1.17
citrus-lockfree,100000,5.00,90.00,1,0,50,483,321,2204,671510,33495,163825,605250,24,0,0,0,0.00
citrus-lockfree,100000,5.00,90.00,16,0,50,586,389,3241,5970892,299143,1460800,5379589,25,0,44,0,0.00
citrus-lockfree,100000,5.00,90.00,32,0,50,862,572,5744,5926689,296936,1447090,5340335,25,0,93,0,0.00
citrus-lockfree,100000,5.00,90.00,48,0,50,1126,739,8992,5627518,281535,1374770,5071029,24,0,141,0,0.00
citrus-lockfree,100000,5.00,90.00,64,0,50,2592,1176,12310,5411797,271127,1321775,4876315,25,0,189,0,0.00
citrus-lockfree,100000,5.00,90.00,80,0,50,2942,1322,15965,5162170,258397,1260915,4651590,25,0,238,0,0.00
